Accession	Up/Down	Gene	Effect
GSE100888	up	GM13509	Inhibit
GSE100888	up	ISPD	Inhibit
GSE100888	up	TINAGL1	Inhibit
GSE100888	up	SLC7A1	Inhibit
GSE100888	up	SLC7A3	Inhibit
GSE100888	up	LDHD	Inhibit
GSE100888	up	GM3739	Inhibit
GSE100888	up	BCLAF1	Inhibit
GSE100888	up	CASP12	Inhibit
GSE100888	up	GM4944	Inhibit
GSE100888	up	TK1	Inhibit
GSE100888	up	ZFP488	Inhibit
GSE100888	up	HAVCR2	Inhibit
GSE100888	up	WDR17	Inhibit
GSE100888	up	SERPINB5	Inhibit
GSE100888	up	P2RY14	Inhibit
GSE100888	up	TMOD1	Inhibit
GSE100888	up	CDKN2B	Inhibit
GSE100888	up	STAT2	Inhibit
GSE100888	up	STAT3	Inhibit
GSE100888	up	GPR4	Inhibit
GSE100888	up	F3	Inhibit
GSE100888	up	SULF2	Inhibit
GSE100888	up	LRG1	Inhibit
GSE100888	up	ADAM18	Inhibit
GSE100888	up	COL4A1	Inhibit
GSE100888	up	CLIP1	Inhibit
GSE100888	up	AGBL4	Inhibit
GSE100888	up	ANKRD44	Inhibit
GSE100888	up	GPR45	Inhibit
GSE100888	up	KCNA4	Inhibit
GSE100888	up	RARS	Inhibit
GSE100888	up	JRKL	Inhibit
GSE100888	up	TMEM140	Inhibit
GSE100888	up	CDC34B	Inhibit
GSE100888	up	PRSS23	Inhibit
GSE100888	up	SMG6	Inhibit
GSE100888	up	FSTL4	Inhibit
GSE100888	up	NUDT12	Inhibit
GSE100888	up	FADS3	Inhibit
GSE100888	up	FAM102B	Inhibit
GSE100888	up	GM26602	Inhibit
GSE100888	up	MRC1	Inhibit
GSE100888	up	PLAGL2	Inhibit
GSE100888	up	PLAGL1	Inhibit
GSE100888	up	4930578G10RIK	Inhibit
GSE100888	up	FADS2	Inhibit
GSE100888	up	GM13301	Inhibit
GSE100888	up	PPIL1	Inhibit
GSE100888	up	GM13304	Inhibit
GSE100888	up	PLXNC1	Inhibit
GSE100888	up	GM13302	Inhibit
GSE100888	up	GPR55	Inhibit
GSE100888	up	ANKRD23	Inhibit
GSE100888	up	SARS	Inhibit
GSE100888	up	GOLM1	Inhibit
GSE100888	up	4930523C07RIK	Inhibit
GSE100888	up	HIPK2	Inhibit
GSE100888	up	LRCH1	Inhibit
GSE100888	up	OBSCN	Inhibit
GSE100888	up	OLFR558	Inhibit
GSE100888	up	ADAM9	Inhibit
GSE100888	up	SQSTM1	Inhibit
GSE100888	up	ZFP433	Inhibit
GSE100888	up	GM9762	Inhibit
GSE100888	up	NBAS	Inhibit
GSE100888	up	CSF3R	Inhibit
GSE100888	up	ALDH1L2	Inhibit
GSE100888	up	SLA	Inhibit
GSE100888	up	PROS1	Inhibit
GSE100888	up	CASC5	Inhibit
GSE100888	up	ATP10D	Inhibit
GSE100888	up	IL6RA	Inhibit
GSE100888	up	TNC	Inhibit
GSE100888	up	JAKMIP2	Inhibit
GSE100888	up	FGD2	Inhibit
GSE100888	up	FOXO1	Inhibit
GSE100888	up	NRAS	Inhibit
GSE100888	up	BCL2L11	Inhibit
GSE100888	up	ZFP36	Inhibit
GSE100888	up	ABLIM3	Inhibit
GSE100888	up	SH3BP2	Inhibit
GSE100888	up	SLC16A7	Inhibit
GSE100888	up	LEO1	Inhibit
GSE100888	up	SH3BP5	Inhibit
GSE100888	up	A230052G05RIK	Inhibit
GSE100888	up	GM14648	Inhibit
GSE100888	up	NPTX2	Inhibit
GSE100888	up	VMN2R1	Inhibit
GSE100888	up	MAP3K8	Inhibit
GSE100888	up	SH2B2	Inhibit
GSE100888	up	GM7694	Inhibit
GSE100888	up	TMEM132D	Inhibit
GSE100888	up	LRRC46	Inhibit
GSE100888	up	SLC38A1	Inhibit
GSE100888	up	F2R	Inhibit
GSE100888	up	GM14416	Inhibit
GSE100888	up	OSBPL3	Inhibit
GSE100888	up	DYRK1A	Inhibit
GSE100888	up	FOXN3	Inhibit
GSE100888	up	ABHD15	Inhibit
GSE100888	up	IGSF10	Inhibit
GSE100888	up	MOB1A	Inhibit
GSE100888	up	CYP4F16	Inhibit
GSE100888	up	MAFF	Inhibit
GSE100888	up	EIF4E1B	Inhibit
GSE100888	up	TRAF7	Inhibit
GSE100888	up	LCN2	Inhibit
GSE100888	up	IARS	Inhibit
GSE100888	up	TPP1	Inhibit
GSE100888	up	MAP3K15	Inhibit
GSE100888	up	TRIM12C	Inhibit
GSE100888	up	RAB3C	Inhibit
GSE100888	up	GM13212	Inhibit
GSE100888	up	CSF1R	Inhibit
GSE100888	up	SLC26A3	Inhibit
GSE100888	up	FAM49A	Inhibit
GSE100888	up	BLM	Inhibit
GSE100888	up	ZFP109	Inhibit
GSE100888	up	RNF180	Inhibit
GSE100888	up	ZFP108	Inhibit
GSE100888	up	EIF4EBP1	Inhibit
GSE100888	up	SAT1	Inhibit
GSE100888	up	RIMS3	Inhibit
GSE100888	up	RIMS2	Inhibit
GSE100888	up	IPO9	Inhibit
GSE100888	up	2210404O09RIK	Inhibit
GSE100888	up	GLIPR1	Inhibit
GSE100888	up	AMDHD2	Inhibit
GSE100888	up	9430020K01RIK	Inhibit
GSE100888	up	SESN3	Inhibit
GSE100888	up	PLXNA2	Inhibit
GSE100888	up	PLS1	Inhibit
GSE100888	up	SRGAP2	Inhibit
GSE100888	up	TRIM66	Inhibit
GSE100888	up	SRGAP1	Inhibit
GSE100888	up	KCNJ5	Inhibit
GSE100888	up	PPP1R12A	Inhibit
GSE100888	up	ZFP639	Inhibit
GSE100888	up	GM17825	Inhibit
GSE100888	up	KCNIP4	Inhibit
GSE100888	up	ASNS	Inhibit
GSE100888	up	EIF2AK3	Inhibit
GSE100888	up	4930503L19RIK	Inhibit
GSE100888	up	PTPN12	Inhibit
GSE100888	up	1-Mar	Inhibit
GSE100888	up	RTN4RL1	Inhibit
GSE100888	up	VMN2R-PS54	Inhibit
GSE100888	up	SLC26A8	Inhibit
GSE100888	up	ITGA8	Inhibit
GSE100888	up	NES	Inhibit
GSE100888	up	LCP2	Inhibit
GSE100888	up	ALK	Inhibit
GSE100888	up	GM8355	Inhibit
GSE100888	up	ZFP646	Inhibit
GSE100888	up	ZFP407	Inhibit
GSE100888	up	TNKS	Inhibit
GSE100888	up	SNAP23	Inhibit
GSE100888	up	LMBR1L	Inhibit
GSE100888	up	RASGRF2	Inhibit
GSE100888	up	OLFR628	Inhibit
GSE100888	up	CD300LF	Inhibit
GSE100888	up	GM8104	Inhibit
GSE100888	up	SPAG9	Inhibit
GSE100888	up	FOXJ3	Inhibit
GSE100888	up	SIAH1A	Inhibit
GSE100888	up	COBL	Inhibit
GSE100888	up	GM10093	Inhibit
GSE100888	up	TM6SF1	Inhibit
GSE100888	up	GM12394	Inhibit
GSE100888	up	KLF2	Inhibit
GSE100888	up	PAGR1A	Inhibit
GSE100888	up	APOBR	Inhibit
GSE100888	up	TSPAN18	Inhibit
GSE100888	up	CCDC66	Inhibit
GSE100888	up	CSNK1G3	Inhibit
GSE100888	up	2610021A01RIK	Inhibit
GSE100888	up	NECTIN3	Inhibit
GSE100888	up	EIF3C	Inhibit
GSE100888	up	GM7120	Inhibit
GSE100888	up	FRRS1	Inhibit
GSE100888	up	SEMA3E	Inhibit
GSE100888	up	CEBPG	Inhibit
GSE100888	up	LRTM2	Inhibit
GSE100888	up	PPM1J	Inhibit
GSE100888	up	SYNE4	Inhibit
GSE100888	up	TSPAN11	Inhibit
GSE100888	up	TMA16	Inhibit
GSE100888	up	FYB	Inhibit
GSE100888	up	TPRN	Inhibit
GSE100888	up	ITGAX	Inhibit
GSE100888	up	NHS	Inhibit
GSE100888	up	TRIM27	Inhibit
GSE100888	up	EPHB1	Inhibit
GSE100888	up	FBXO7	Inhibit
GSE100888	up	PGM5	Inhibit
GSE100888	up	ERC2	Inhibit
GSE100888	up	TRIM28	Inhibit
GSE100888	up	ATP7B	Inhibit
GSE100888	up	NEO1	Inhibit
GSE100888	up	ZFP541	Inhibit
GSE100888	up	VSTM4	Inhibit
GSE100888	up	PGM1	Inhibit
GSE100888	up	GM18716	Inhibit
GSE100888	up	IL1R1	Inhibit
GSE100888	up	IFRD1	Inhibit
GSE100888	up	SFMBT2	Inhibit
GSE100888	up	ACTN1	Inhibit
GSE100888	up	B430203G13RIK	Inhibit
GSE100888	up	DCLK3	Inhibit
GSE100888	up	CCAR1	Inhibit
GSE100888	up	BRE	Inhibit
GSE100888	up	MXRA8	Inhibit
GSE100888	up	GSAP	Inhibit
GSE100888	up	COL9A3	Inhibit
GSE100888	up	RIN3	Inhibit
GSE100888	up	PM20D1	Inhibit
GSE100888	up	IL2RG	Inhibit
GSE100888	up	CBLB	Inhibit
GSE100888	up	UBE2L6	Inhibit
GSE100888	up	ARNTL	Inhibit
GSE100888	up	STRIP2	Inhibit
GSE100888	up	GM6768	Inhibit
GSE100888	up	PEG10	Inhibit
GSE100888	up	CHAC1	Inhibit
GSE100888	up	CPNE4	Inhibit
GSE100888	down	TRHR	Inhibit
GSE100888	down	STARD4	Inhibit
GSE100888	down	AP1S1	Inhibit
GSE100888	down	AHNAK2	Inhibit
GSE100888	down	L7RN6	Inhibit
GSE100888	down	RFX2	Inhibit
GSE100888	down	DKK3	Inhibit
GSE100888	down	ATG12	Inhibit
GSE100888	down	PHF5A	Inhibit
GSE100888	down	GRIN3B	Inhibit
GSE100888	down	CD7	Inhibit
GSE100888	down	RBP4	Inhibit
GSE100888	down	PSMC5	Inhibit
GSE100888	down	POLR3G	Inhibit
GSE100888	down	MPPE1	Inhibit
GSE100888	down	RPL27	Inhibit
GSE100888	down	POLR3K	Inhibit
GSE100888	down	ASF1B	Inhibit
GSE100888	down	SCX	Inhibit
GSE100888	down	RNASET2A	Inhibit
GSE100888	down	IER5L	Inhibit
GSE100888	down	MT-ND1	Inhibit
GSE100888	down	ACCS	Inhibit
GSE100888	down	MT-ND2	Inhibit
GSE100888	down	LSM11	Inhibit
GSE100888	down	GPR153	Inhibit
GSE100888	down	SV2B	Inhibit
GSE100888	down	NKX2-2	Inhibit
GSE100888	down	SNCG	Inhibit
GSE100888	down	AKT2	Inhibit
GSE100888	down	PIP4K2C	Inhibit
GSE100888	down	RABAC1	Inhibit
GSE100888	down	S100A10	Inhibit
GSE100888	down	ST3GAL2	Inhibit
GSE100888	down	SIGMAR1	Inhibit
GSE100888	down	H2-D1	Inhibit
GSE100888	down	ABCA6	Inhibit
GSE100888	down	MCAM	Inhibit
GSE100888	down	FZD9	Inhibit
GSE100888	down	BCAN	Inhibit
GSE100888	down	VAMP1	Inhibit
GSE100888	down	MRVI1	Inhibit
GSE100888	down	ACSBG1	Inhibit
GSE100888	down	RLTPR	Inhibit
GSE100888	down	HPN	Inhibit
GSE100888	down	TMEM200B	Inhibit
GSE100888	down	CTBP1	Inhibit
GSE100888	down	RRP9	Inhibit
GSE100888	down	MRPL12	Inhibit
GSE100888	down	TMEM189	Inhibit
GSE100888	down	ALKBH3	Inhibit
GSE100888	down	DSTYK	Inhibit
GSE100888	down	PCDHA1	Inhibit
GSE100888	down	PDGFD	Inhibit
GSE100888	down	ARPIN	Inhibit
GSE100888	down	GM10109	Inhibit
GSE100888	down	ATG7	Inhibit
GSE100888	down	MNX1	Inhibit
GSE100888	down	CENPU	Inhibit
GSE100888	down	C730034F03RIK	Inhibit
GSE100888	down	GM15801	Inhibit
GSE100888	down	ANXA6	Inhibit
GSE100888	down	TESC	Inhibit
GSE100888	down	PTCH1	Inhibit
GSE100888	down	TMC6	Inhibit
GSE100888	down	PRSS12	Inhibit
GSE100888	down	PLXDC1	Inhibit
GSE100888	down	TOMM40L	Inhibit
GSE100888	down	MMP15	Inhibit
GSE100888	down	GPRC5B	Inhibit
GSE100888	down	MMP17	Inhibit
GSE100888	down	TMEM35	Inhibit
GSE100888	down	BHLHE41	Inhibit
GSE100888	down	FXYD7	Inhibit
GSE100888	down	CCDC3	Inhibit
GSE100888	down	GAS6	Inhibit
GSE100888	down	GSTM6	Inhibit
GSE100888	down	D10JHU81E	Inhibit
GSE100888	down	ARF5	Inhibit
GSE100888	down	KCNC4	Inhibit
GSE100888	down	FPR2	Inhibit
GSE100888	down	TMEM160	Inhibit
GSE100888	down	GPT	Inhibit
GSE100888	down	OAZ1	Inhibit
GSE100888	down	LRSAM1	Inhibit
GSE100888	down	AU041133	Inhibit
GSE100888	down	RFK	Inhibit
GSE100888	down	NELFCD	Inhibit
GSE100888	down	PACSIN3	Inhibit
GSE100888	down	RNF113A2	Inhibit
GSE100888	down	SLC18A3	Inhibit
GSE100888	down	IL11RA1	Inhibit
GSE100888	down	GM10131	Inhibit
GSE100888	down	WDR18	Inhibit
GSE100888	down	DFFA	Inhibit
GSE100888	down	GM10012	Inhibit
GSE100888	down	LDOC1	Inhibit
GSE100888	down	MRPL49	Inhibit
GSE100888	down	GTF2H3	Inhibit
GSE100888	down	NFIA	Inhibit
GSE100888	down	DYNLL2	Inhibit
GSE100888	down	SNX21	Inhibit
GSE100888	down	HEYL	Inhibit
GSE100888	down	TOM1L2	Inhibit
GSE100888	down	ADAM19	Inhibit
GSE100888	down	GATM	Inhibit
GSE100888	down	BDH1	Inhibit
GSE100888	down	MORN4	Inhibit
GSE100888	down	CACTIN	Inhibit
GSE100888	down	LGR6	Inhibit
GSE100888	down	XXYLT1	Inhibit
GSE100888	down	NDUFA13	Inhibit
GSE100888	down	IL1F9	Inhibit
GSE100888	down	TDRP	Inhibit
GSE100888	down	FSTL1	Inhibit
GSE100888	down	MRPL57	Inhibit
GSE100888	down	GLI1	Inhibit
GSE100888	down	TDG-PS	Inhibit
GSE100888	down	RECQL5	Inhibit
GSE100888	down	LFNG	Inhibit
GSE100888	down	MRC2	Inhibit
GSE100888	down	NEFL	Inhibit
GSE100888	down	NEFM	Inhibit
GSE100888	down	RSPO2	Inhibit
GSE100888	down	AP3S2	Inhibit
GSE100888	down	NUDT17	Inhibit
GSE100888	down	NEFH	Inhibit
GSE100888	down	BRD8	Inhibit
GSE100888	down	JAK1	Inhibit
GSE100888	down	GM9531	Inhibit
GSE100888	down	YIPF2	Inhibit
GSE100888	down	GM10036	Inhibit
GSE100888	down	FBXO17	Inhibit
GSE100888	down	PPP1R16A	Inhibit
GSE100888	down	BTBD6	Inhibit
GSE100888	down	TLE6	Inhibit
GSE100888	down	RAB34	Inhibit
GSE100888	down	AAGAB	Inhibit
GSE100888	down	TTC30B	Inhibit
GSE100888	down	MAPKAPK3	Inhibit
GSE100888	down	TUBGCP5	Inhibit
GSE100888	down	RNF187	Inhibit
GSE100888	down	KCNG1	Inhibit
GSE100888	down	ZFP568	Inhibit
GSE100888	down	KCNG4	Inhibit
GSE100888	down	FAAP20	Inhibit
GSE100888	down	CHPF	Inhibit
GSE100888	down	URM1	Inhibit
GSE100888	down	ANKRD35	Inhibit
GSE100888	down	LRRC73	Inhibit
GSE100888	down	PARK7	Inhibit
GSE100888	down	CXCL14	Inhibit
GSE100888	down	HARS	Inhibit
GSE100888	down	SLC26A10	Inhibit
GSE100888	down	CHP1	Inhibit
GSE100888	down	KCNH2	Inhibit
GSE100888	down	IGFBP2	Inhibit
GSE100888	down	GM8783	Inhibit
GSE100888	down	LRRC49	Inhibit
GSE100888	down	ESRRA	Inhibit
GSE100888	down	SLMO2	Inhibit
GSE100888	down	GLMP	Inhibit
GSE100888	down	METRN	Inhibit
GSE100888	down	KCNAB2	Inhibit
GSE100888	down	ADAP1	Inhibit
GSE100888	down	MED29	Inhibit
GSE100888	down	ARMCX2	Inhibit
GSE100888	down	SH3BP5L	Inhibit
GSE100888	down	TMIE	Inhibit
GSE100888	down	FRMD8	Inhibit
GSE100888	down	LHX4	Inhibit
GSE100888	down	ARPC4	Inhibit
GSE100888	down	GM14419	Inhibit
GSE100888	down	ERG	Inhibit
GSE100888	down	PGP	Inhibit
GSE100888	down	SPIRE2	Inhibit
GSE100888	down	GM9864	Inhibit
GSE100888	down	PIN1	Inhibit
GSE100888	down	1700088E04RIK	Inhibit
GSE100888	down	PARM1	Inhibit
GSE100888	down	ARHGAP9	Inhibit
GSE100888	down	GM14421	Inhibit
GSE100888	down	CHODL	Inhibit
GSE100888	down	ARL2	Inhibit
GSE100888	down	LIN7B	Inhibit
GSE100888	down	TM7SF2	Inhibit
GSE100888	down	HSPBP1	Inhibit
GSE100888	down	PHF21B	Inhibit
GSE100888	down	C1QTNF5	Inhibit
GSE100888	down	FGF9	Inhibit
GSE100888	down	SNN	Inhibit
GSE100888	down	THEM4	Inhibit
GSE100888	down	B3GALT2	Inhibit
GSE100888	down	GM9855	Inhibit
GSE100888	down	SAC3D1	Inhibit
GSE100888	down	GPX1	Inhibit
GSE100888	down	GM8122	Inhibit
GSE100888	down	GPX3	Inhibit
GSE100888	down	TMEM255B	Inhibit
GSE100888	down	ACTR6	Inhibit
GSE100888	down	DHPS	Inhibit
GSE100888	down	KCNJ14	Inhibit
GSE100888	down	ZFP516	Inhibit
GSE100888	down	NRG1	Inhibit
GSE100888	down	NDUFC2	Inhibit
GSE100888	down	TNFRSF21	Inhibit
GSE100888	down	CD24A	Inhibit
GSE100888	down	SMDT1	Inhibit
GSE100888	down	LCP1	Inhibit
GSE100888	down	CCDC74A	Inhibit
GSE100888	down	MCM6	Inhibit
GSE100888	down	SP8	Inhibit
GSE100888	down	CD248	Inhibit
GSE100888	down	SFT2D3	Inhibit
GSE100888	down	KCNK3	Inhibit
GSE100888	down	GM14444	Inhibit
GSE100888	down	L3MBTL4	Inhibit
GSE100888	down	GM14322	Inhibit
GSE100888	down	NDUFB6	Inhibit
GSE100888	down	GLO1	Inhibit
GSE100888	down	NDUFB4	Inhibit
GSE100888	down	ITPR3	Inhibit
GSE100888	down	ATP5K	Inhibit
GSE100888	down	ADRA1D	Inhibit
GSE100888	down	FBXO44	Inhibit
GSE100888	down	ADRA1A	Inhibit
GSE100888	down	2700081O15RIK	Inhibit
GSE100888	down	ATP5D	Inhibit
GSE100888	down	ZFP74	Inhibit
GSE100888	down	0610012G03RIK	Inhibit
GSE100888	down	CCDC85B	Inhibit
GSE100888	down	HIF1AN	Inhibit
GSE100888	down	SLC37A4	Inhibit
GSE100888	down	MBOAT7	Inhibit
GSE100888	down	NDUFA3	Inhibit
GSE100888	down	TPD52L1	Inhibit
GSE100888	down	TSPAN17	Inhibit
GSE100888	down	NELL2	Inhibit
GSE100888	down	P2RX6	Inhibit
GSE100888	down	IMPDH1	Inhibit
GSE100888	down	BOLA3	Inhibit
GSE100888	down	A930033H14RIK	Inhibit
GSE100888	down	CSNK1G2	Inhibit
GSE100888	down	KCTD17	Inhibit
GSE100888	down	GM12166	Inhibit
GSE100888	down	SEMA3A	Inhibit
GSE100888	down	ZFP787	Inhibit
GSE100888	down	GM9780	Inhibit
GSE100888	down	MCM9	Inhibit
GSE100888	down	CHADL	Inhibit
GSE100888	down	CACNG2	Inhibit
GSE100888	down	GM7233	Inhibit
GSE100888	down	TNNI1	Inhibit
GSE100888	down	TTC39A	Inhibit
GSE100888	down	ENTPD3	Inhibit
GSE100888	down	ARL16	Inhibit
GSE100888	down	IFITM10	Inhibit
GSE100888	down	FBXO2	Inhibit
GSE100888	down	ZFP839	Inhibit
GSE100888	down	P3H4	Inhibit
GSE100888	down	GCAT	Inhibit
GSE100888	down	DCLK1	Inhibit
GSE100888	down	FNDC4	Inhibit
GSE100888	down	IFI27	Inhibit
GSE100888	down	KIF20A	Inhibit
GSE100888	down	LRRN2	Inhibit
GSE100888	down	PFN1	Inhibit
GSE100888	down	CALM1	Inhibit
GSE100888	down	EIF5A2	Inhibit
GSE100888	down	VIPR2	Inhibit
GSE100888	down	ISOC2A	Inhibit
GSE100888	down	UQCR11	Inhibit
GSE100888	down	CYB5D2	Inhibit
GSE100888	down	FRAT1	Inhibit
GSE100888	down	CDC23	Inhibit
GSE100888	down	ARFIP2	Inhibit
GSE100888	down	TCEB2	Inhibit
GSE100888	down	POF1B	Inhibit
GSE100888	down	MEST	Inhibit
GSE100888	down	CALN1	Inhibit
GSE100888	down	SH3BGR	Inhibit
GSE100888	down	COX8A	Inhibit
GSE100888	down	EAF1	Inhibit
GSE100888	down	PAQR4	Inhibit
GSE100888	down	ARFGAP2	Inhibit
GSE100888	down	IL17RC	Inhibit
GSE100888	down	GM14494	Inhibit
GSE100888	down	NTAN1	Inhibit
GSE100888	down	BTC	Inhibit
GSE100888	down	NLRP5-PS	Inhibit
GSE100888	down	RP23-253I14.4	Inhibit
GSE100888	down	MON1A	Inhibit
GSE100888	down	TAGLN3	Inhibit
GSE100888	down	NDUFAF1	Inhibit
GSE100888	down	ITM2A	Inhibit
GSE100888	down	VGLL3	Inhibit
GSE100888	down	C2CD2L	Inhibit
GSE100888	down	PTGES	Inhibit
GSE100888	down	MON1B	Inhibit
GSE100888	down	VGLL4	Inhibit
