Accession	Up/Down	Gene
GSE41018	up	WSB2
GSE41018	up	PLEKHA2
GSE41018	up	SLC12A2
GSE41018	up	GPR37L1
GSE41018	up	PPP2R1A
GSE41018	up	HPCAL4
GSE41018	up	DCLK1
GSE41018	up	MAPK14
GSE41018	up	HNRNPM
GSE41018	up	NISCH
GSE41018	up	HNRNPL
GSE41018	up	MARCKS
GSE41018	up	FEZ1
GSE41018	up	PSMC5
GSE41018	up	UQCRC1
GSE41018	up	NSMF
GSE41018	up	RPL28
GSE41018	up	HNRNPC
GSE41018	up	CDK14
GSE41018	up	ASTN1
GSE41018	up	CDK16
GSE41018	up	SF3B3
GSE41018	up	CMAS
GSE41018	up	POMP
GSE41018	up	RPL10
GSE41018	up	WBP5
GSE41018	up	3110035E14RIK
GSE41018	up	DCAF5
GSE41018	up	STX12
GSE41018	up	PDXP
GSE41018	up	ASNA1
GSE41018	up	GNG4
GSE41018	up	GPBP1
GSE41018	up	CHORDC1
GSE41018	up	SV2A
GSE41018	up	PABPN1
GSE41018	up	PIP4K2A
GSE41018	up	APBB1
GSE41018	up	CPNE4
GSE41018	up	TCEB2
GSE41018	up	KLF13
GSE41018	up	GABARAPL1
GSE41018	up	RPL41
GSE41018	up	IQSEC3
GSE41018	up	ATP6AP1
GSE41018	up	PRRC2B
GSE41018	up	PTK2
GSE41018	up	NCEH1
GSE41018	up	SLC6A8
GSE41018	up	SNHG11
GSE41018	up	PKIA
GSE41018	up	PSME3
GSE41018	up	PTPLAD1
GSE41018	up	OGDH
GSE41018	up	ATP6V1B2
GSE41018	up	GABARAP
GSE41018	up	ISCA1
GSE41018	up	TTYH3
GSE41018	up	PDE1B
GSE41018	up	PTTG1IP
GSE41018	up	HSPH1
GSE41018	up	PPP3R1
GSE41018	up	INPP5A
GSE41018	up	RPS17
GSE41018	up	GJA1
GSE41018	up	TSPAN7
GSE41018	up	STMN2
GSE41018	up	PCBP3
GSE41018	up	RPL37
GSE41018	up	UPF2
GSE41018	up	LYPLA2
GSE41018	up	BLCAP
GSE41018	up	SEC13
GSE41018	up	SSR3
GSE41018	up	H3F3B
GSE41018	up	ANXA6
GSE41018	up	AP3B2
GSE41018	up	SYN1
GSE41018	up	SLC7A5
GSE41018	up	PRPF19
GSE41018	up	AFTPH
GSE41018	up	PTPRD
GSE41018	up	MPPED1
GSE41018	up	VSNL1
GSE41018	up	ARHGEF4
GSE41018	up	RGS7BP
GSE41018	up	CAMK1
GSE41018	up	CYB561
GSE41018	up	GARS
GSE41018	up	CALR
GSE41018	up	SGK1
GSE41018	up	GGNBP2
GSE41018	up	NRN1
GSE41018	up	TMED10
GSE41018	up	ARF3
GSE41018	up	AATK
GSE41018	up	ENDOD1
GSE41018	up	NEDD8
GSE41018	up	THY1
GSE41018	up	CX3CL1
