Accession	Up/Down	Gene	Effect
GSE89672	up	CYSTM1	Activate
GSE89672	up	BEX2	Activate
GSE89672	up	EPHA10	Activate
GSE89672	up	CREBRF	Activate
GSE89672	up	TXNDC12	Activate
GSE89672	up	AC069368.3	Activate
GSE89672	up	TMTC1	Activate
GSE89672	up	C14ORF1	Activate
GSE89672	up	FTH1	Activate
GSE89672	up	KIF21B	Activate
GSE89672	up	ARSG	Activate
GSE89672	down	UNC13D	Activate
GSE89672	down	CD3EAP	Activate
GSE89672	down	GDAP1	Activate
GSE89672	down	COMTD1	Activate
GSE89672	down	C12ORF75	Activate
GSE89672	down	LARP7	Activate
GSE89672	down	EID1	Activate
GSE89672	down	MYL6	Activate
GSE89672	down	TRIP6	Activate
GSE89672	down	MTHFD1	Activate
GSE89672	down	PSMC3	Activate
GSE89672	down	POP1	Activate
GSE89672	down	DCHS2	Activate
GSE89672	down	PCDHB5	Activate
GSE89672	down	HNRNPC	Activate
GSE89672	down	HNRNPD	Activate
GSE89672	down	DCHS1	Activate
GSE89672	down	MYL9	Activate
GSE89672	down	MT-ND5	Activate
GSE89672	down	MT-CO1	Activate
GSE89672	down	PGAP3	Activate
GSE89672	down	MT-CO2	Activate
GSE89672	down	COL12A1	Activate
GSE89672	down	SERPINE1	Activate
GSE89672	down	HNRNPU	Activate
GSE89672	down	AKIP1	Activate
GSE89672	down	C1ORF198	Activate
GSE89672	down	NCAPH	Activate
GSE89672	down	MT-ND4	Activate
GSE89672	down	NEURL1B	Activate
GSE89672	down	CREB3L1	Activate
GSE89672	down	PPP4R1	Activate
GSE89672	down	RNF115	Activate
GSE89672	down	UGP2	Activate
GSE89672	down	GPATCH1	Activate
GSE89672	down	LACTB	Activate
GSE89672	down	PLCE1	Activate
GSE89672	down	RP11-454P7.3	Activate
GSE89672	down	TAF9B	Activate
GSE89672	down	FZD1	Activate
GSE89672	down	NCAPH2	Activate
GSE89672	down	MCAM	Activate
GSE89672	down	ZNF260	Activate
GSE89672	down	PLK2	Activate
GSE89672	down	GPN1	Activate
GSE89672	down	BAZ1B	Activate
GSE89672	down	NUDT16L1	Activate
GSE89672	down	DHFR	Activate
GSE89672	down	BACE1	Activate
GSE89672	down	FOSL2	Activate
GSE89672	down	EHD2	Activate
GSE89672	down	VANGL2	Activate
GSE89672	down	MLLT11	Activate
GSE89672	down	EIF6	Activate
GSE89672	down	PSME3	Activate
GSE89672	down	CFAP58	Activate
GSE89672	down	MT-CO3	Activate
GSE89672	down	H2AFY2	Activate
GSE89672	down	TSTA3	Activate
GSE89672	down	TRIO	Activate
GSE89672	down	DIS3L	Activate
GSE89672	down	NCAPG2	Activate
GSE89672	down	SMC4	Activate
GSE89672	down	SMC2	Activate
GSE89672	down	MYLK	Activate
GSE89672	down	ZXDA	Activate
GSE89672	down	ZXDB	Activate
GSE89672	down	GPR176	Activate
GSE89672	down	EPB41L2	Activate
GSE89672	down	STMN1	Activate
GSE89672	down	MYO18B	Activate
GSE89672	down	SERPINH1	Activate
GSE89672	down	SFN	Activate
GSE89672	down	MYBL1	Activate
GSE89672	down	TCF19	Activate
GSE89672	down	ANXA2	Activate
GSE89672	down	DUSP1	Activate
GSE89672	down	ANXA3	Activate
GSE89672	down	PCIF1	Activate
GSE89672	down	ANXA6	Activate
GSE89672	down	CGN	Activate
GSE89672	down	WNT9A	Activate
GSE89672	down	GP6	Activate
GSE89672	down	DCBLD1	Activate
GSE89672	down	CS	Activate
GSE89672	down	WDR34	Activate
GSE89672	down	CENPF	Activate
GSE89672	down	MRAS	Activate
GSE89672	down	LYRM5	Activate
GSE89672	down	CLCF1	Activate
GSE89672	down	CENPM	Activate
GSE89672	down	LIMS1	Activate
GSE89672	down	PHF19	Activate
GSE89672	down	RP11-544M22.13	Activate
GSE89672	down	CENPT	Activate
GSE89672	down	LIMS2	Activate
GSE89672	down	C11ORF31	Activate
GSE89672	down	ANXA8L1	Activate
GSE89672	down	KCNC1	Activate
GSE89672	down	RASAL2	Activate
GSE89672	down	IQGAP3	Activate
GSE89672	down	CTCF	Activate
GSE89672	down	HOXC11	Activate
GSE89672	down	MRPL33	Activate
GSE89672	down	FAM171A1	Activate
GSE89672	down	TRIM6	Activate
GSE89672	down	CSRP1	Activate
GSE89672	down	TK1	Activate
GSE89672	down	PLEKHN1	Activate
GSE89672	down	TCP11L1	Activate
GSE89672	down	ZNF467	Activate
GSE89672	down	AP1M2	Activate
GSE89672	down	RIC1	Activate
GSE89672	down	GTF2H3	Activate
GSE89672	down	DYNLL2	Activate
GSE89672	down	DHRS2	Activate
GSE89672	down	TUBB4B	Activate
GSE89672	down	SERPINB6	Activate
GSE89672	down	SNX17	Activate
GSE89672	down	UBBP4	Activate
GSE89672	down	MSRB3	Activate
GSE89672	down	GOPC	Activate
GSE89672	down	MTMR11	Activate
GSE89672	down	FSTL1	Activate
GSE89672	down	FSTL3	Activate
GSE89672	down	JPH2	Activate
GSE89672	down	OVCA2	Activate
GSE89672	down	LFNG	Activate
GSE89672	down	GGTLC2	Activate
GSE89672	down	NDST1	Activate
GSE89672	down	TUBA1C	Activate
GSE89672	down	TUBA1B	Activate
GSE89672	down	MINOS1	Activate
GSE89672	down	BRD9	Activate
GSE89672	down	SUPT16H	Activate
GSE89672	down	C21ORF33	Activate
GSE89672	down	TPM4	Activate
GSE89672	down	HNRNPAB	Activate
GSE89672	down	RAB30	Activate
GSE89672	down	RBX1	Activate
GSE89672	down	MOB3B	Activate
GSE89672	down	RAB32	Activate
GSE89672	down	PKP3	Activate
GSE89672	down	RPL13AP5	Activate
GSE89672	down	PKP4	Activate
GSE89672	down	SRSF6	Activate
GSE89672	down	TCTA	Activate
GSE89672	down	SRSF7	Activate
GSE89672	down	AJUBA	Activate
GSE89672	down	FKBP4	Activate
GSE89672	down	RAB1B	Activate
GSE89672	down	COL16A1	Activate
GSE89672	down	PHLDB2	Activate
GSE89672	down	PHLDB1	Activate
GSE89672	down	GPS2	Activate
GSE89672	down	SRSF1	Activate
GSE89672	down	URM1	Activate
GSE89672	down	SRSF2	Activate
GSE89672	down	UCP2	Activate
GSE89672	down	HIKESHI	Activate
GSE89672	down	TUBA3C	Activate
GSE89672	down	RP11-294C11.3	Activate
GSE89672	down	RUVBL1	Activate
GSE89672	down	RBBP6	Activate
GSE89672	down	CFL2	Activate
GSE89672	down	TPM1	Activate
GSE89672	down	FLNB	Activate
GSE89672	down	CSE1L	Activate
GSE89672	down	LZTS1	Activate
GSE89672	down	MISP	Activate
GSE89672	down	PSKH1	Activate
GSE89672	down	KPNA2	Activate
GSE89672	down	HMGN2	Activate
GSE89672	down	ATP8B2	Activate
GSE89672	down	UROS	Activate
GSE89672	down	PHKB	Activate
GSE89672	down	RCAN1	Activate
GSE89672	down	FRMD6	Activate
GSE89672	down	TFDP1	Activate
GSE89672	down	ARPC3	Activate
GSE89672	down	ARPC4	Activate
GSE89672	down	LHX1	Activate
GSE89672	down	ACTBL2	Activate
GSE89672	down	BIRC5	Activate
GSE89672	down	SMS	Activate
GSE89672	down	ZNF532	Activate
GSE89672	down	NRSN2	Activate
GSE89672	down	NCF2	Activate
GSE89672	down	TPMT	Activate
GSE89672	down	IPO4	Activate
GSE89672	down	OLFML2A	Activate
GSE89672	down	ELFN2	Activate
GSE89672	down	CORO1C	Activate
GSE89672	down	MAP3K7CL	Activate
GSE89672	down	MMP24	Activate
GSE89672	down	AC171558.1	Activate
GSE89672	down	IPO9	Activate
GSE89672	down	C1QTNF2	Activate
GSE89672	down	EFEMP2	Activate
GSE89672	down	SCMH1	Activate
GSE89672	down	ESD	Activate
GSE89672	down	HNRNPDL	Activate
GSE89672	down	ROS1	Activate
GSE89672	down	SEMA7A	Activate
GSE89672	down	DGCR2	Activate
GSE89672	down	SLC2A4RG	Activate
GSE89672	down	FUS	Activate
GSE89672	down	LANCL2	Activate
GSE89672	down	TMLHE	Activate
GSE89672	down	ESPL1	Activate
GSE89672	down	CDK2	Activate
GSE89672	down	NF2	Activate
GSE89672	down	MCM4	Activate
GSE89672	down	TRIM58	Activate
GSE89672	down	NES	Activate
GSE89672	down	TMEM255A	Activate
GSE89672	down	MCM7	Activate
GSE89672	down	EIF4E3	Activate
GSE89672	down	MT-CYB	Activate
GSE89672	down	IQCA1	Activate
GSE89672	down	KHDRBS1	Activate
GSE89672	down	MAPKAP1	Activate
GSE89672	down	FAM114A1	Activate
GSE89672	down	NDUFB3	Activate
GSE89672	down	DUSP16	Activate
GSE89672	down	CYR61	Activate
GSE89672	down	LBH	Activate
GSE89672	down	RIC8A	Activate
GSE89672	down	DNAJB2	Activate
GSE89672	down	ADAMTS15	Activate
GSE89672	down	CCDC85C	Activate
GSE89672	down	MGAT5B	Activate
GSE89672	down	CCDC85B	Activate
GSE89672	down	ME2	Activate
GSE89672	down	EIF4H	Activate
GSE89672	down	BOK	Activate
GSE89672	down	PLEKHG4	Activate
GSE89672	down	PLEKHG3	Activate
GSE89672	down	CKAP2L	Activate
GSE89672	down	UNC5C	Activate
GSE89672	down	SMIM10L1	Activate
GSE89672	down	SPAG5	Activate
GSE89672	down	SLC25A1P5	Activate
GSE89672	down	TMEM256-PLSCR3	Activate
GSE89672	down	PRC1	Activate
GSE89672	down	CIRBP	Activate
GSE89672	down	CDC42	Activate
GSE89672	down	RNF20	Activate
GSE89672	down	KLF2	Activate
GSE89672	down	ATXN10	Activate
GSE89672	down	SLC25A10	Activate
GSE89672	down	STUB1	Activate
GSE89672	down	RECK	Activate
GSE89672	down	CCDC62	Activate
GSE89672	down	EIF4A2	Activate
GSE89672	down	GPR89A	Activate
GSE89672	down	UHRF1	Activate
GSE89672	down	KIAA0101	Activate
GSE89672	down	CDC45	Activate
GSE89672	down	HIRIP3	Activate
GSE89672	down	SGCB	Activate
GSE89672	down	ADAMTS1	Activate
GSE89672	down	SUMO3	Activate
GSE89672	down	BEND3	Activate
GSE89672	down	HNRNPA3	Activate
GSE89672	down	NPIPA5	Activate
GSE89672	down	DUT	Activate
GSE89672	down	ESCO2	Activate
GSE89672	down	ACTN4	Activate
GSE89672	down	P3H2	Activate
GSE89672	down	C7ORF25	Activate
GSE89672	down	MYO7B	Activate
GSE89672	down	GCAT	Activate
GSE89672	down	KATNAL1	Activate
GSE89672	down	HIST1H4H	Activate
GSE89672	down	ANP32E	Activate
GSE89672	down	SUCLG2	Activate
GSE89672	down	KIF20A	Activate
GSE89672	down	DNA2	Activate
GSE89672	down	KIF20B	Activate
GSE89672	down	PFN2	Activate
GSE89672	down	MT1E	Activate
GSE89672	down	TAGLN	Activate
GSE89672	down	AQP1	Activate
GSE89672	down	NTN4	Activate
GSE89672	down	STX11	Activate
GSE89672	down	ACTB	Activate
GSE89672	down	RFPL4A	Activate
GSE89672	down	MAGEA8	Activate
GSE89672	down	RAB11FIP1	Activate
GSE89672	down	RACGAP1	Activate
GSE89672	down	ZNF827	Activate
GSE89672	down	RAD54L	Activate
GSE89672	down	IARS2	Activate
GSE89672	down	ARVCF	Activate
GSE89672	down	GBAS	Activate
GSE89672	down	MYL12A	Activate
GSE89672	down	ALDH7A1	Activate
GSE89672	down	TNNT1	Activate
GSE89672	down	NDUFAF3	Activate
