Accession	Up/Down	Gene	Effect
GSE72901	up	TFB2M	Activate
GSE72901	up	ALG2	Activate
GSE72901	up	ANK2	Activate
GSE72901	up	INPP4A	Activate
GSE72901	up	ADCK3	Activate
GSE72901	up	FBXL2	Activate
GSE72901	up	ADCK5	Activate
GSE72901	up	FBXL3	Activate
GSE72901	up	SUGP1	Activate
GSE72901	down	GBP7	Activate
GSE72901	down	A430105I19RIK	Activate
GSE72901	down	CADM1	Activate
GSE72901	down	SOX12	Activate
GSE72901	down	SOX11	Activate
GSE72901	down	SLC5A7	Activate
GSE72901	down	COL1A2	Activate
GSE72901	down	MEX3A	Activate
GSE72901	down	MYL6	Activate
GSE72901	down	MARCKS	Activate
GSE72901	down	CD9	Activate
GSE72901	down	IGTP	Activate
GSE72901	down	SF3B3	Activate
GSE72901	down	AHNAK	Activate
GSE72901	down	SERPINE1	Activate
GSE72901	down	MT-ND3	Activate
GSE72901	down	DCAF6	Activate
GSE72901	down	BACH2	Activate
GSE72901	down	CREB3L1	Activate
GSE72901	down	ST3GAL5	Activate
GSE72901	down	IGLON5	Activate
GSE72901	down	PXDC1	Activate
GSE72901	down	S100A13	Activate
GSE72901	down	CYP1B1	Activate
GSE72901	down	SAMD1	Activate
GSE72901	down	HES1	Activate
GSE72901	down	S100A10	Activate
GSE72901	down	GBP3	Activate
GSE72901	down	ST3GAL2	Activate
GSE72901	down	S100A11	Activate
GSE72901	down	FZD2	Activate
GSE72901	down	WNT10B	Activate
GSE72901	down	KLF13	Activate
GSE72901	down	PLK1	Activate
GSE72901	down	MCAM	Activate
GSE72901	down	PLK2	Activate
GSE72901	down	KLF10	Activate
GSE72901	down	BAZ1A	Activate
GSE72901	down	NR2F6	Activate
GSE72901	down	PBX1	Activate
GSE72901	down	FOSL2	Activate
GSE72901	down	EHD2	Activate
GSE72901	down	FOSL1	Activate
GSE72901	down	GJB3	Activate
GSE72901	down	CDCA3	Activate
GSE72901	down	TTYH3	Activate
GSE72901	down	TTYH2	Activate
GSE72901	down	SCHIP1	Activate
GSE72901	down	MRPL18	Activate
GSE72901	down	ENO3	Activate
GSE72901	down	GVIN1	Activate
GSE72901	down	HACD4	Activate
GSE72901	down	ELK3	Activate
GSE72901	down	LIPG	Activate
GSE72901	down	RNF213	Activate
GSE72901	down	HSPH1	Activate
GSE72901	down	PRKAR2B	Activate
GSE72901	down	PRKAR2A	Activate
GSE72901	down	PRDX1	Activate
GSE72901	down	IER5	Activate
GSE72901	down	DUSP5	Activate
GSE72901	down	GSTM1	Activate
GSE72901	down	TPI1	Activate
GSE72901	down	ANXA3	Activate
GSE72901	down	PTCH1	Activate
GSE72901	down	TUBB2A	Activate
GSE72901	down	CENPE	Activate
GSE72901	down	CENPF	Activate
GSE72901	down	KAT2B	Activate
GSE72901	down	MMP14	Activate
GSE72901	down	PXDN	Activate
GSE72901	down	GAS1	Activate
GSE72901	down	ADGRL1	Activate
GSE72901	down	ADGRL2	Activate
GSE72901	down	PHF19	Activate
GSE72901	down	PIF1	Activate
GSE72901	down	HIST2H2AA2	Activate
GSE72901	down	FAM171A2	Activate
